= op_set
local local_declaration
require module_load
== op_equal
<= op_lequal
>= op_gequal
~= op_nequal
< op_less
> op_greater
( par_left
) par_right
[ bracket_left
] bracket_right
{ brace_left
} brace_right
. dot
.. double_dot
... triple_dot
: double_vertical_dot
:: double_double_dot
, punct_comma
; punct_dot_comma
+ op_plus
- op_minus
* op_mul
/ op_div
% op_mod
^ op_degree
# op_len
function func_decl
if condition_if
else condition_else
elseif condition_elseif
for loop_for
do loop_do
until loop_until
repeat loop_repeat
break loop_break
continue loop_continue
while loop_while
return func_return
then statement_then
end statement_end
not op_not
and op_and
or op_or
false const_false
true const_true
nil const_nil
in op_in
goto op_goto
